,Unnamed: 0,year,month,day,name,clusters,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20,Topic_21,Topic_22,Topic_23,Topic_24,Topic_25,Topic_26,Topic_27,Topic_28,Topic_29,Topic_30,Topic_31,Topic_32,Topic_33,Topic_34,Topic_35,Topic_36,Topic_37,Topic_38,Topic_39,Topic_40,Topic_41,Topic_42,Topic_43,Topic_44,Topic_45,days_completed
30,30,2019,10,07,antena3_2019 10 07_afternoon_new,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024684788659214973,0.05762270838022233,0.0,0.0,0.0,0.0,0.06697386503219603,0.0,0.44224849343299866,0.0,0.0,0.0,0.0,0.0,0.3036433756351471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05973783507943154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02278248406946659,0.0,0.0,0.0,0.0,0.0,2019 10 07
31,31,2019,10,09,antena3_2019 10 09_morning_new,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10239028185606004,0.0,0.0,0.10907658934593199,0.0,0.0,0.1405363380908966,0.0,0.014700566418468954,0.0,0.0,0.0,0.0,0.0,0.031980227679014206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01641758345067501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5500496029853821,0.0,0.0,0.0,0.0,0.0,2019 10 09
32,32,2019,10,10,antena3_2019 10 10_morning_new,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06259559839963913,0.01722288690507412,0.0,0.013364222832024096,0.0,0.0,0.1289118081331253,0.0,0.018396258354187008,0.0,0.02287854440510273,0.0,0.0,0.0,0.1723591387271881,0.0,0.0,0.0,0.04423191025853157,0.0,0.0,0.0,0.0,0.05867501348257065,0.0,0.0,0.0,0.0,0.0,0.0,0.0749848410487175,0.3645437955856323,0.0,0.0,0.0,0.0,0.0,2019 10 10
33,33,2019,10,11,antena3_2019 10 11_morning_new,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11051217466592787,0.037763826549053185,0.0,0.019173102453351017,0.0,0.0,0.09408337622880936,0.0,0.01285971887409687,0.0,0.0228649340569973,0.0,0.0,0.0,0.06845994293689728,0.0,0.0,0.0,0.01302282977849245,0.0,0.021429991349577904,0.0,0.0,0.08018068224191666,0.0,0.0,0.0,0.0,0.0,0.0,0.03178391233086586,0.4737376868724823,0.0,0.0,0.0,0.0,0.0,2019 10 11
34,34,2019,10,12,antena3_2019 10 12_morning_new,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0219058021903038,0.0,0.12055341899394988,0.04696780815720558,0.0,0.057300165295600884,0.0,0.0,0.054539613425731666,0.0,0.011814454570412636,0.0,0.0,0.0,0.0,0.0,0.020251363515853882,0.0,0.0,0.0,0.016942009329795837,0.0,0.0,0.0,0.0,0.3948093354701996,0.0,0.0,0.0,0.0,0.0,0.0,0.020669929683208462,0.1808123290538788,0.0,0.02966725267469883,0.0,0.0,0.0,2019 10 12
35,35,2019,10,15,antena3_2019 10 15_morning_new,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04260795563459397,0.37383899092674255,0.0,0.0,0.0,0.0,0.06782123446464539,0.0,0.02626493014395237,0.0,0.0,0.0,0.0,0.0,0.06976833939552307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06981294602155685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2853294312953949,0.0,0.03803923726081848,0.0,0.0,0.0,2019 10 15
36,36,2019,09,13,antena3_2019 09 13_morning_new,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018306203186511997,0.0,0.11420483887195587,0.0,0.020994558930397037,0.0,0.0,0.0,0.02577643282711506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012142987921833992,0.0,0.0,0.0,0.0,0.0,0.015251764096319675,0.0,0.0,0.09761577099561693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20396144688129425,0.0,0.4713600277900696,0.0,0.0,0.0,2019 09 13
37,37,2019,09,13,antena3_2019 09 13_afternoon_new,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03076664917171001,0.0,0.07037777453660965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014291054569184782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04483463615179062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23437608778476715,0.0,0.584292471408844,0.0,0.0,0.0,2019 09 13
38,38,2016,11,10,1_spa_2016 11 10_morning_new,12.0,0.0,0.0,0.04371672123670578,0.0,0.0,0.020892733708024025,0.0,0.0,0.0,0.0479300357401371,0.010361168533563614,0.0,0.0,0.0,0.0,0.06635913252830505,0.0,0.01626976579427719,0.0,0.0,0.0,0.0,0.0,0.09349336475133896,0.0,0.0,0.0,0.024360420182347298,0.0,0.0,0.0,0.0,0.4613784849643707,0.0,0.0,0.0,0.0,0.0,0.0,0.05300038307905197,0.14789649844169614,0.0,0.0,0.0,0.0,0.0,2016 11 10
39,39,2016,11,12,1_spa_2016 11 12_afternoon_new,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020101964473724362,0.0,0.0,0.0,0.0,0.0,0.04754805192351341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08423680067062378,0.0,0.0,0.0,0.0,0.0,0.6208698749542236,0.0,0.0,0.1449832022190094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05291878059506416,0.0,0.0,0.0,0.0,0.0,2016 11 12
