,index,clusters,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20,Topic_21,Topic_22,Topic_23,Topic_24,Topic_25,Topic_26,Topic_27,channel,day,year
2710,1_spa_2018 07 14_afternoon_new,1.0,0.0,0.3747536838054657,0.0,0.028849275782704353,0.12815722823143005,0.12931056320667267,0.0,0.0,0.0,0.12472768872976303,0.04484039172530174,0.014415849931538105,0.0,0.0,0.0,0.05297384038567543,0.0,0.0,0.0,0.0,0.02776874229311943,0.0,0.0,0.05595572292804718,0.0,0.0,0.0,1_spa,2018 07 14,2018
2711,1_spa_2018 07 15_morning_new,14.0,0.0,0.4777994155883789,0.0,0.04864760488271713,0.0,0.07501741498708725,0.0,0.0,0.0,0.13038557767868042,0.0,0.0,0.0,0.0,0.0,0.04370168596506119,0.02727445401251316,0.014657380059361458,0.0,0.0,0.07973410189151764,0.0,0.0,0.08382407575845718,0.0,0.0,0.0,1_spa,2018 07 15,2018
2712,1_spa_2018 07 15_afternoon_new,14.0,0.0,0.4412843585014343,0.0,0.07171176373958588,0.03366094455122948,0.07988948374986649,0.0,0.0,0.0,0.0520264133810997,0.010058663785457611,0.01868966594338417,0.0,0.0,0.0,0.033824943006038666,0.0,0.0,0.0,0.0,0.10526322573423386,0.0,0.0,0.13595107197761536,0.0,0.0,0.0,1_spa,2018 07 15,2018
2713,1_spa_2018 07 17_morning_new,1.0,0.0,0.37501391768455505,0.0,0.028525685891509056,0.023685786873102188,0.1330052763223648,0.0,0.0,0.0,0.026331648230552673,0.0,0.019866446033120155,0.012344853952527046,0.0,0.0,0.04232058674097061,0.027623169124126434,0.01612676866352558,0.0,0.0,0.08690497279167175,0.0,0.0,0.1992296427488327,0.0,0.0,0.0,1_spa,2018 07 17,2018
2714,1_spa_2018 07 17_afternoon_new,1.0,0.0,0.41203179955482483,0.0,0.012025346048176289,0.020401258021593094,0.12972676753997803,0.0,0.0,0.0,0.011340254917740822,0.018714163452386856,0.015532941557466984,0.012801049277186394,0.0,0.0,0.052353523671627045,0.020683653652668,0.010079252533614635,0.0,0.0,0.07844525575637817,0.0,0.0,0.20575650036334991,0.0,0.0,0.0,1_spa,2018 07 17,2018
2715,1_spa_2018 07 19_morning_new,1.0,0.0,0.4223064184188843,0.0,0.021381856873631477,0.0,0.14165838062763214,0.0,0.0,0.0,0.0,0.0,0.019299674779176712,0.0,0.0,0.0,0.07794132083654404,0.0327727235853672,0.0,0.0,0.0,0.08883894979953766,0.0,0.0,0.16702909767627716,0.0,0.0,0.0,1_spa,2018 07 19,2018
2716,1_spa_2018 07 20_morning_new,11.0,0.0,0.07105040550231934,0.0,0.0,0.3315194249153137,0.34418928623199463,0.0,0.0,0.0,0.015469956211745739,0.07343745231628418,0.05933079868555069,0.0,0.0,0.0,0.01395056489855051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07919424027204514,0.0,0.0,0.0,1_spa,2018 07 20,2018
2717,1_spa_2018 07 21_morning_new,14.0,0.0,0.4590805768966675,0.0,0.016125790774822235,0.014656119048595428,0.04658017307519913,0.0,0.0,0.0,0.024803651496767998,0.019113663583993912,0.08846000581979752,0.011436794884502888,0.0,0.0,0.07680094242095947,0.025547251105308533,0.0,0.0,0.0,0.12220621854066849,0.0,0.0,0.09251568466424942,0.0,0.0,0.0,1_spa,2018 07 21,2018
2718,1_spa_2018 07 21_afternoon_new,9.0,0.0,0.23528166115283966,0.0,0.010903698392212391,0.012470529414713383,0.0637998953461647,0.0,0.0,0.0,0.10273626446723938,0.09107222408056259,0.23344476521015167,0.0,0.0,0.0,0.012954697012901306,0.0,0.010702029801905155,0.0,0.0,0.04635344445705414,0.0,0.0,0.170852929353714,0.0,0.0,0.0,1_spa,2018 07 21,2018
2719,1_spa_2018 07 22_morning_new,14.0,0.0,0.5208272337913513,0.0,0.03328581899404526,0.0,0.10146083682775497,0.0,0.0,0.0,0.0420384407043457,0.0,0.0,0.02015831135213375,0.0,0.0,0.032186634838581085,0.0,0.0,0.0,0.0,0.11254362016916275,0.0,0.0,0.12390993535518646,0.0,0.0,0.0,1_spa,2018 07 22,2018
2720,1_spa_2018 07 23_afternoon_new,2.0,0.0,0.3418627083301544,0.0,0.020835136994719505,0.017659198492765427,0.19524094462394714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05735126882791519,0.010143077000975609,0.0,0.0,0.0,0.07043097913265228,0.0,0.0,0.26654091477394104,0.0,0.0,0.0,1_spa,2018 07 23,2018
2721,1_spa_2018 07 24_morning_new,12.0,0.0,0.339450865983963,0.0,0.0,0.029808904975652695,0.13664066791534424,0.0,0.0,0.0,0.0,0.0,0.0,0.013208741322159767,0.0,0.0,0.05800209939479828,0.03353056311607361,0.0,0.0,0.0,0.09108830243349075,0.0,0.0,0.2765107750892639,0.0,0.0,0.0,1_spa,2018 07 24,2018
2722,1_spa_2018 07 25_afternoon_new,1.0,0.0,0.40006518363952637,0.0,0.0,0.019759586080908775,0.16634243726730347,0.0,0.0,0.0,0.037169065326452255,0.02842545509338379,0.026983223855495453,0.03425750136375427,0.0,0.0,0.03951951488852501,0.016387376934289932,0.0,0.0,0.0,0.07641737908124924,0.0,0.0,0.14721578359603882,0.0,0.0,0.0,1_spa,2018 07 25,2018
2723,1_spa_2018 07 27_morning_new,1.0,0.0,0.43315398693084717,0.0,0.024303710088133812,0.0,0.16720300912857056,0.0,0.0,0.0,0.017691221088171005,0.0,0.015128981322050095,0.011728908866643906,0.0,0.0,0.04632149264216423,0.0,0.0,0.0,0.0,0.1018085852265358,0.0,0.0,0.17217276990413666,0.0,0.0,0.0,1_spa,2018 07 27,2018
2724,1_spa_2018 07 27_afternoon_new,1.0,0.0,0.442409485578537,0.0,0.03131799027323723,0.0,0.20016801357269287,0.0,0.0,0.0,0.04932107403874397,0.0,0.0,0.010414217598736286,0.0,0.0,0.07377813756465912,0.0,0.0,0.0,0.0,0.061300694942474365,0.0,0.0,0.1274576336145401,0.0,0.0,0.0,1_spa,2018 07 27,2018
2725,1_spa_2018 07 28_morning_new,14.0,0.0,0.4367210865020752,0.0,0.02993015944957733,0.04246632009744644,0.11406264454126358,0.0,0.0,0.0,0.08143578469753265,0.019622189924120903,0.01399276778101921,0.01436588354408741,0.0,0.0,0.08985858410596848,0.0,0.0,0.0,0.0,0.07140031456947327,0.0,0.0,0.08112816512584686,0.0,0.0,0.0,1_spa,2018 07 28,2018
2726,1_spa_2018 07 28_afternoon_new,1.0,0.0,0.2846056818962097,0.0,0.01030814740806818,0.02745615318417549,0.13898169994354248,0.0,0.0,0.0,0.12363287806510925,0.06309594213962555,0.057690903544425964,0.02876521460711956,0.0,0.0,0.05387083441019058,0.012710153125226498,0.0,0.0,0.0,0.03716525807976723,0.0,0.0,0.1598764806985855,0.0,0.0,0.0,1_spa,2018 07 28,2018
2727,1_spa_2018 07 29_morning_new,14.0,0.0,0.44800469279289246,0.0,0.04684731364250183,0.0,0.1329118013381958,0.0,0.0,0.0,0.10211395472288132,0.013500666245818138,0.0,0.01648210547864437,0.0,0.0,0.06130705401301384,0.0,0.0,0.0,0.0,0.0858839601278305,0.0,0.0,0.0855766013264656,0.0,0.0,0.0,1_spa,2018 07 29,2018
