,name,year,month,day,clusters,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20,Topic_21,Topic_22,Topic_23,Topic_24,Topic_25,Topic_26,Topic_27,Topic_28,Topic_29,Topic_30,Topic_31,Topic_32,Topic_33,Topic_34,Topic_35,Topic_36,Topic_37,days_completed
31,antena3_2019 10 09_morning_new,2019,10,09,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051584701985120766,0.0,0.0,0.0,0.0,0.0,0.0440153032541275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042892228811979294,0.0,0.06360814720392227,0.0,0.0,0.0,0.0,0.0,0.16635476052761078,0.0,0.0,0.0,0.6070904135704039,0.0,0.0,0.0,2019 10 09
32,antena3_2019 10 10_morning_new,2019,10,10,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02192367054522037,0.10594914108514786,0.0,0.0,0.0,0.0,0.0,0.2305743098258972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1653132140636444,0.0,0.038389801979064934,0.0,0.0,0.0,0.1151682510972023,0.0,0.0,0.0,0.309973418712616,0.0,0.0,0.0,2019 10 10
33,antena3_2019 10 11_morning_new,2019,10,11,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022063596174120903,0.03861967474222183,0.0,0.0,0.0,0.0,0.0,0.16285723447799685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1977376937866211,0.0,0.05368931218981743,0.0,0.0,0.0,0.15036702156066895,0.0,0.0,0.0,0.3415810465812683,0.0,0.023096790537238118,0.0,2019 10 11
34,antena3_2019 10 12_morning_new,2019,10,12,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036044061183929436,0.0,0.0,0.0,0.0,0.0,0.3721733689308167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1534208208322525,0.0,0.09240227937698364,0.0,0.0,0.0,0.0566570945084095,0.0,0.0,0.025856325402855877,0.23093432188034055,0.0,0.026106957346200943,0.0,2019 10 12
35,antena3_2019 10 15_morning_new,2019,10,15,14.0,0.027272388339042664,0.0,0.0,0.0,0.0,0.0,0.0,0.08286631107330322,0.0,0.0,0.0,0.0,0.0,0.11316413432359695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25559020042419434,0.0,0.0160279031842947,0.0,0.0,0.0,0.06931130588054657,0.0,0.0,0.0,0.1286889761686325,0.0,0.3000413477420807,0.0,2019 10 15
36,antena3_2019 09 13_morning_new,2019,09,13,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09222887456417084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5331177711486816,0.0,0.0,0.0,0.0,0.0,0.08791232109069824,0.0,0.0,0.24681977927684784,0.014028823934495449,0.011816836893558502,0.0,0.0,2019 09 13
37,antena3_2019 09 13_afternoon_new,2019,09,13,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02194102667272091,0.0,0.0,0.0,0.0,0.0,0.0710720643401146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5258443951606749,0.0,0.0,0.0,0.0,0.0,0.05900958552956581,0.0,0.0,0.2979983985424042,0.022331912070512768,0.0,0.0,0.0,2019 09 13
38,1_spa_2016 11 10_morning_new,2016,11,10,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05109908059239388,0.0,0.017049385234713554,0.0,0.0,0.0,0.32220086455345154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06084596365690231,0.0,0.172599196434021,0.0,0.0,0.0,0.03209459036588669,0.0,0.0,0.0,0.3361950218677521,0.0,0.0,0.0,2016 11 10
39,1_spa_2016 11 12_afternoon_new,2016,11,12,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023787897080183033,0.0,0.0,0.0,0.0,0.0,0.10126138478517532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011434606276452541,0.0,0.1027548685669899,0.0,0.0,0.0,0.061949294060468674,0.0,0.0,0.0137858334928751,0.0815514400601387,0.6031171083450317,0.0,0.0,2016 11 12
40,1_spa_2016 11 15_morning_new,2016,11,15,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1419573426246643,0.0,0.0,0.0,0.0,0.0,0.28696927428245544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01470549590885639,0.0,0.3578236103057861,0.0,0.0,0.0,0.039559192955493934,0.0,0.0,0.0,0.14055007696151733,0.014975680038332941,0.0,0.0,2016 11 15
